configId,family,raceCount,baselineTop1Accuracy,selectorTop1Accuracy,accuracyDelta,netAdditionalCorrect,coverage,appliedRaceCount,appliedAccuracy,outerFold,selected
logistic_c60_m05,logistic,8511,0.54223945482317,0.54223945482317,0.0,0,0.0,0,0.0,1,False
logistic_c65_m05,logistic,8511,0.54223945482317,0.54223945482317,0.0,0,0.0,0,0.0,1,False
logistic_c70_m05,logistic,8511,0.54223945482317,0.54223945482317,0.0,0,0.0,0,0.0,1,False
logistic_c65_m10,logistic,8511,0.54223945482317,0.54223945482317,0.0,0,0.0,0,0.0,1,False
small_tree_c60_m05,small_tree,8511,0.54223945482317,0.54223945482317,0.0,0,0.0,0,0.0,1,False
small_tree_c65_m05,small_tree,8511,0.54223945482317,0.54223945482317,0.0,0,0.0,0,0.0,1,False
small_tree_c70_m05,small_tree,8511,0.54223945482317,0.54223945482317,0.0,0,0.0,0,0.0,1,False
small_tree_c65_m10,small_tree,8511,0.54223945482317,0.54223945482317,0.0,0,0.0,0,0.0,1,False
logistic_c60_m05,logistic,7070,0.5405940594059406,0.5407355021216408,0.00014144271570014144,1,0.00014144271570014144,1,1.0,2,False
logistic_c65_m05,logistic,7070,0.5405940594059406,0.5405940594059406,0.0,0,0.0,0,0.0,2,False
logistic_c70_m05,logistic,7070,0.5405940594059406,0.5405940594059406,0.0,0,0.0,0,0.0,2,False
logistic_c65_m10,logistic,7070,0.5405940594059406,0.5405940594059406,0.0,0,0.0,0,0.0,2,False
small_tree_c60_m05,small_tree,7070,0.5405940594059406,0.5405940594059406,0.0,0,0.0,0,0.0,2,False
small_tree_c65_m05,small_tree,7070,0.5405940594059406,0.5405940594059406,0.0,0,0.0,0,0.0,2,False
small_tree_c70_m05,small_tree,7070,0.5405940594059406,0.5405940594059406,0.0,0,0.0,0,0.0,2,False
small_tree_c65_m10,small_tree,7070,0.5405940594059406,0.5405940594059406,0.0,0,0.0,0,0.0,2,False
logistic_c60_m05,logistic,7054,0.5609583215197051,0.561100085058123,0.0001417635384179189,1,0.0001417635384179189,1,1.0,3,False
logistic_c65_m05,logistic,7054,0.5609583215197051,0.5609583215197051,0.0,0,0.0,0,0.0,3,False
logistic_c70_m05,logistic,7054,0.5609583215197051,0.5609583215197051,0.0,0,0.0,0,0.0,3,False
logistic_c65_m10,logistic,7054,0.5609583215197051,0.5609583215197051,0.0,0,0.0,0,0.0,3,False
small_tree_c60_m05,small_tree,7054,0.5609583215197051,0.5609583215197051,0.0,0,0.0,0,0.0,3,False
small_tree_c65_m05,small_tree,7054,0.5609583215197051,0.5609583215197051,0.0,0,0.0,0,0.0,3,False
small_tree_c70_m05,small_tree,7054,0.5609583215197051,0.5609583215197051,0.0,0,0.0,0,0.0,3,False
small_tree_c65_m10,small_tree,7054,0.5609583215197051,0.5609583215197051,0.0,0,0.0,0,0.0,3,False
logistic_c60_m05,logistic,8141,0.566023829996315,0.566023829996315,0.0,0,0.0,0,0.0,4,False
logistic_c65_m05,logistic,8141,0.566023829996315,0.566023829996315,0.0,0,0.0,0,0.0,4,False
logistic_c70_m05,logistic,8141,0.566023829996315,0.566023829996315,0.0,0,0.0,0,0.0,4,False
logistic_c65_m10,logistic,8141,0.566023829996315,0.566023829996315,0.0,0,0.0,0,0.0,4,False
small_tree_c60_m05,small_tree,8141,0.566023829996315,0.566023829996315,0.0,0,0.0,0,0.0,4,False
small_tree_c65_m05,small_tree,8141,0.566023829996315,0.566023829996315,0.0,0,0.0,0,0.0,4,False
small_tree_c70_m05,small_tree,8141,0.566023829996315,0.566023829996315,0.0,0,0.0,0,0.0,4,False
small_tree_c65_m10,small_tree,8141,0.566023829996315,0.566023829996315,0.0,0,0.0,0,0.0,4,False
logistic_c60_m05,logistic,7896,0.5597771023302939,0.5597771023302939,0.0,0,0.0,0,0.0,5,False
logistic_c65_m05,logistic,7896,0.5597771023302939,0.5597771023302939,0.0,0,0.0,0,0.0,5,False
logistic_c70_m05,logistic,7896,0.5597771023302939,0.5597771023302939,0.0,0,0.0,0,0.0,5,False
logistic_c65_m10,logistic,7896,0.5597771023302939,0.5597771023302939,0.0,0,0.0,0,0.0,5,False
small_tree_c60_m05,small_tree,7896,0.5597771023302939,0.5597771023302939,0.0,0,0.0,0,0.0,5,False
small_tree_c65_m05,small_tree,7896,0.5597771023302939,0.5597771023302939,0.0,0,0.0,0,0.0,5,False
small_tree_c70_m05,small_tree,7896,0.5597771023302939,0.5597771023302939,0.0,0,0.0,0,0.0,5,False
small_tree_c65_m10,small_tree,7896,0.5597771023302939,0.5597771023302939,0.0,0,0.0,0,0.0,5,False
