dimension,segment,races,top1Accuracy,winnerInTop2,winnerInTop3,top2OracleGain,top3AdditionalGain
marginBand,"(-0.0009509, 0.244]",9503,0.36199095022624433,0.6347469220246238,0.8125854993160054,0.27275597179837946,0.17783857729138167
marginBand,"(0.244, 0.376]",9502,0.5245211534413807,0.7284782151126079,0.8522416333403494,0.2039570616712271,0.12376341822774153
marginBand,"(0.376, 0.506]",9502,0.6236581772258472,0.7798358240370449,0.8741317617343717,0.15617764681119764,0.09429593769732687
marginBand,"(0.506, 0.813]",9503,0.7220877617594443,0.8247921708934021,0.8982426602125645,0.1027044091339577,0.07345048931916237
entropyBand,"(0.305, 0.642]",9503,0.7172471850994423,0.8358413132694938,0.9069767441860465,0.11859412817005156,0.07113543091655267
entropyBand,"(0.642, 0.723]",9502,0.6161860660913492,0.7875184171753316,0.8856030309408546,0.17133235108398231,0.09808461376552305
entropyBand,"(0.723, 0.802]",9502,0.5033677120606188,0.7206903809724269,0.8469795832456325,0.21732266891180804,0.12628920227320564
entropyBand,"(0.802, 0.986]",9503,0.3954540671366937,0.6238030095759234,0.7976428496264337,0.2283489424392297,0.17383984005051037
lane1,1,37164,0.5614304165321279,0.744752986761382,0.860644709934345,0.1833225702292541,0.11589172317296308
lane1,2,394,0.434010152284264,0.6269035532994924,0.799492385786802,0.19289340101522842,0.17258883248730963
lane1,3,293,0.44368600682593856,0.6382252559726962,0.8054607508532423,0.1945392491467577,0.16723549488054607
lane1,4,149,0.30201342281879195,0.5771812080536913,0.7919463087248322,0.2751677852348993,0.21476510067114093
lane1,5,9,0.1111111111111111,0.3333333333333333,0.7777777777777778,0.2222222222222222,0.4444444444444444
lane1,6,1,0.0,1.0,1.0,1.0,0.0
jcd,1,1641,0.52224253503961,0.7081048141377209,0.8324192565508836,0.1858622790981109,0.12431444241316271
jcd,10,1498,0.5006675567423231,0.7136181575433912,0.842456608811749,0.2129506008010681,0.1288384512683578
jcd,11,1594,0.5407779171894604,0.739021329987453,0.8676286072772899,0.19824341279799249,0.1286072772898369
jcd,12,1698,0.5759717314487632,0.7444051825677267,0.8680800942285041,0.1684334511189635,0.12367491166077739
jcd,13,1349,0.6219421793921424,0.7954040029651593,0.8925129725722758,0.17346182357301704,0.09710896960711639
