dimension,segment,races,appliedRaces,coverage,baselineAccuracy,selectorAccuracy,accuracyDelta,netAdditionalCorrect
jcd,1,1641,0,0.0,0.52224253503961,0.52224253503961,0.0,0
jcd,10,1498,0,0.0,0.5006675567423231,0.5006675567423231,0.0,0
jcd,11,1594,0,0.0,0.5407779171894604,0.5407779171894604,0.0,0
jcd,12,1698,0,0.0,0.5759717314487632,0.5759717314487632,0.0,0
jcd,13,1349,0,0.0,0.6219421793921424,0.6219421793921424,0.0,0
jcd,14,1459,0,0.0,0.48046607265250174,0.48046607265250174,0.0,0
jcd,15,1657,0,0.0,0.5582377791188896,0.5582377791188896,0.0,0
jcd,16,1353,0,0.0,0.5521064301552107,0.5521064301552107,0.0,0
jcd,17,1637,0,0.0,0.5571166768478925,0.5571166768478925,0.0,0
jcd,18,1776,0,0.0,0.6013513513513513,0.6013513513513513,0.0,0
jcd,19,1616,0,0.0,0.6188118811881188,0.6188118811881188,0.0,0
jcd,2,1471,0,0.0,0.45887151597552683,0.45887151597552683,0.0,0
jcd,20,1547,0,0.0,0.6024563671622495,0.6024563671622495,0.0,0
jcd,21,1681,0,0.0,0.6032123735871505,0.6032123735871505,0.0,0
jcd,22,1658,0,0.0,0.5675512665862484,0.5675512665862484,0.0,0
jcd,23,1418,0,0.0,0.5479548660084627,0.5479548660084627,0.0,0
jcd,24,1694,0,0.0,0.6446280991735537,0.6446280991735537,0.0,0
jcd,3,1481,0,0.0,0.4814314652261985,0.4814314652261985,0.0,0
jcd,4,1252,0,0.0,0.4952076677316294,0.4952076677316294,0.0,0
jcd,5,1684,0,0.0,0.5558194774346793,0.5558194774346793,0.0,0
jcd,6,1806,0,0.0,0.5564784053156147,0.5564784053156147,0.0,0
jcd,7,1680,0,0.0,0.5803571428571429,0.5803571428571429,0.0,0
jcd,8,1766,0,0.0,0.5583238958097395,0.5583238958097395,0.0,0
jcd,9,1594,0,0.0,0.56900878293601,0.56900878293601,0.0,0
month,2025-08,275,0,0.0,0.5490909090909091,0.5490909090909091,0.0,0
month,2025-09,3625,0,0.0,0.5384827586206896,0.5384827586206896,0.0,0
month,2025-10,3538,0,0.0,0.5404183154324477,0.5404183154324477,0.0,0
month,2025-11,3340,0,0.0,0.5694610778443113,0.5694610778443113,0.0,0
month,2025-12,4008,0,0.0,0.5598802395209581,0.5598802395209581,0.0,0
month,2026-01,4356,0,0.0,0.5663452708907254,0.5663452708907254,0.0,0
month,2026-02,3545,0,0.0,0.5588152327221438,0.5588152327221438,0.0,0
month,2026-03,3811,0,0.0,0.5615324061926004,0.5615324061926004,0.0,0
month,2026-04,1824,0,0.0,0.5619517543859649,0.5619517543859649,0.0,0
month,2026-05,3677,0,0.0,0.5580636388360076,0.5580636388360076,0.0,0
month,2026-06,3827,0,0.0,0.5612751502482363,0.5612751502482363,0.0,0
month,2026-07,2184,0,0.0,0.5668498168498168,0.5668498168498168,0.0,0
predictedLane,1,37164,0,0.0,0.5614304165321279,0.5614304165321279,0.0,0
predictedLane,2,394,0,0.0,0.434010152284264,0.434010152284264,0.0,0
predictedLane,3,293,0,0.0,0.44368600682593856,0.44368600682593856,0.0,0
predictedLane,4,149,0,0.0,0.30201342281879195,0.30201342281879195,0.0,0
predictedLane,5,9,0,0.0,0.1111111111111111,0.1111111111111111,0.0,0
predictedLane,6,1,0,0.0,0.0,0.0,0.0,0
race_no,2,3467,0,0.0,0.4802422843957312,0.4802422843957312,0.0,0
race_no,3,3498,0,0.0,0.483704974271012,0.483704974271012,0.0,0
race_no,4,3481,0,0.0,0.48922723355357656,0.48922723355357656,0.0,0
race_no,5,3490,0,0.0,0.5449856733524355,0.5449856733524355,0.0,0
race_no,6,3467,0,0.0,0.5125468704932218,0.5125468704932218,0.0,0
race_no,7,3457,0,0.0,0.5267573040208273,0.5267573040208273,0.0,0
race_no,8,3445,0,0.0,0.5338171262699565,0.5338171262699565,0.0,0
race_no,9,3434,0,0.0,0.5675596971461853,0.5675596971461853,0.0,0
race_no,10,3439,0,0.0,0.6068624600174469,0.6068624600174469,0.0,0
race_no,11,3431,0,0.0,0.6846400466336345,0.6846400466336345,0.0,0
race_no,12,3401,0,0.0,0.7139076742134667,0.7139076742134667,0.0,0
missingnessBand,none,38010,0,0.0,0.5580636674559326,0.5580636674559326,0.0,0
