feature,source,cutoff,dtype,missingRule,resultDerived
p1,tree_15_oof_probability,PRE_RACE_ASOF_CONTRACT,float64,train_only_median_imputation,False
p2,tree_15_oof_probability,PRE_RACE_ASOF_CONTRACT,float64,train_only_median_imputation,False
p3,tree_15_oof_probability,PRE_RACE_ASOF_CONTRACT,float64,train_only_median_imputation,False
margin12,tree_15_oof_probability,PRE_RACE_ASOF_CONTRACT,float64,train_only_median_imputation,False
margin13,tree_15_oof_probability,PRE_RACE_ASOF_CONTRACT,float64,train_only_median_imputation,False
entropy,tree_15_oof_probability,PRE_RACE_ASOF_CONTRACT,float64,train_only_median_imputation,False
jcd_numeric,strict_lag_asof_feature,PRE_RACE_ASOF_CONTRACT,float64,train_only_median_imputation,False
race_no,strict_lag_asof_feature,PRE_RACE_ASOF_CONTRACT,float64,train_only_median_imputation,False
lane1,strict_lag_asof_feature,PRE_RACE_ASOF_CONTRACT,float64,train_only_median_imputation,False
lane2,strict_lag_asof_feature,PRE_RACE_ASOF_CONTRACT,float64,train_only_median_imputation,False
lane3,strict_lag_asof_feature,PRE_RACE_ASOF_CONTRACT,float64,train_only_median_imputation,False
missingness_count,strict_lag_asof_feature,PRE_RACE_ASOF_CONTRACT,float64,train_only_median_imputation,False
feature_availability_count,strict_lag_asof_feature,PRE_RACE_ASOF_CONTRACT,float64,train_only_median_imputation,False
rank2_minus_rank1_lane_prior_win_rate,strict_lag_asof_feature,PRE_RACE_ASOF_CONTRACT,float64,train_only_median_imputation,False
rank2_minus_rank1_venue_lane_prior_win_rate,strict_lag_asof_feature,PRE_RACE_ASOF_CONTRACT,float64,train_only_median_imputation,False
rank2_minus_rank1_racer_prior_win_rate,strict_lag_asof_feature,PRE_RACE_ASOF_CONTRACT,float64,train_only_median_imputation,False
rank2_minus_rank1_racer_prior_top2_rate,strict_lag_asof_feature,PRE_RACE_ASOF_CONTRACT,float64,train_only_median_imputation,False
rank2_minus_rank1_racer_prior_mean_finish,strict_lag_asof_feature,PRE_RACE_ASOF_CONTRACT,float64,train_only_median_imputation,False
rank2_minus_rank1_racer_prior10_win_rate,strict_lag_asof_feature,PRE_RACE_ASOF_CONTRACT,float64,train_only_median_imputation,False
rank2_minus_rank1_days_since_previous_race,strict_lag_asof_feature,PRE_RACE_ASOF_CONTRACT,float64,train_only_median_imputation,False
rank2_minus_rank1_feature_availability_count,strict_lag_asof_feature,PRE_RACE_ASOF_CONTRACT,float64,train_only_median_imputation,False
rank3_minus_rank1_lane_prior_win_rate,strict_lag_asof_feature,PRE_RACE_ASOF_CONTRACT,float64,train_only_median_imputation,False
rank3_minus_rank1_venue_lane_prior_win_rate,strict_lag_asof_feature,PRE_RACE_ASOF_CONTRACT,float64,train_only_median_imputation,False
rank3_minus_rank1_racer_prior_win_rate,strict_lag_asof_feature,PRE_RACE_ASOF_CONTRACT,float64,train_only_median_imputation,False
rank3_minus_rank1_racer_prior_top2_rate,strict_lag_asof_feature,PRE_RACE_ASOF_CONTRACT,float64,train_only_median_imputation,False
rank3_minus_rank1_racer_prior_mean_finish,strict_lag_asof_feature,PRE_RACE_ASOF_CONTRACT,float64,train_only_median_imputation,False
rank3_minus_rank1_racer_prior10_win_rate,strict_lag_asof_feature,PRE_RACE_ASOF_CONTRACT,float64,train_only_median_imputation,False
rank3_minus_rank1_days_since_previous_race,strict_lag_asof_feature,PRE_RACE_ASOF_CONTRACT,float64,train_only_median_imputation,False
rank3_minus_rank1_feature_availability_count,strict_lag_asof_feature,PRE_RACE_ASOF_CONTRACT,float64,train_only_median_imputation,False
